# 近一个月创历史新高 A股筛选结果
# 生成时间: 2026-06-05 07:09:43
# 参数: recent_days=22  use=high  source=yahoo  history=全历史
# 检查 5206 只，命中 568 只
代码        名称                  历史最高        近月最高          创新高日
300936    中英科技               84.55      113.99    2026-05-29
002655    共达电声               33.25       44.80    2026-05-29
301682    宏明电子              145.00      195.00    2026-06-04
300319    麦捷科技               17.41       23.36    2026-06-05
688449    联芸科技               70.01       93.80    2026-05-21
688200    华峰测控              373.88      499.97    2026-05-21
002929    润建股份               75.09      100.09    2026-05-19
603061    金海通               275.00      366.00    2026-05-21
688312    燕麦科技               81.45      108.27    2026-05-20
605589    圣泉集团               42.88       56.95    2026-06-03
688037    芯源微               248.48      330.00    2026-05-21
301419    阿莱德                38.41       50.98    2026-06-03
002156    通富微电               59.13       78.47    2026-05-27
301308    江波龙               480.40      637.25    2026-05-14
301183    东田微               217.60      288.64    2026-05-14
688531    日联科技              162.09      215.00    2026-06-05
688352    XD颀中科              18.50       24.52    2026-06-02
688170    德龙激光               72.33       95.65    2026-05-27
301502    华阳智能               69.54       91.92    2026-05-21
002364    中恒电气               45.45       59.97    2026-05-29
003004    声迅股份               54.88       72.25    2026-06-02
001309    德明利               577.29      759.99    2026-05-15
688257    新锐股份               84.79      111.52    2026-06-05
301228    实朴检测               59.30       77.99    2026-06-05
688234    天岳先进              137.50      180.75    2026-05-27
002463    沪电股份              108.75      142.78    2026-06-04
301099    雅创电子               63.14       82.88    2026-06-05
688811    有研复材               27.90       36.57    2026-05-19
603078    江化微                31.78       41.56    2026-06-05
301458    钧崴电子               50.34       65.82    2026-06-05
000021    深科技                35.97       47.03    2026-05-27
688127    蓝特光学               79.71      104.22    2026-05-22
688585    上纬新材              170.90      223.24    2026-05-26
688167    炬光科技              420.98      549.00    2026-05-14
688498    源杰科技             1111.00     1448.68    2026-06-05
300502    新易盛               627.80      818.38    2026-06-05
301317    鑫磊股份               67.45       87.60    2026-05-25
688478    晶升股份               61.59       79.90    2026-05-15
301526    国际复材               19.28       25.00    2026-05-28
300843    胜蓝股份               84.91      109.88    2026-05-20
688012    中微公司              276.34      357.53    2026-05-21
688519    南亚新材              199.36      257.90    2026-06-05
688719    爱科赛博               68.00       87.83    2026-06-05
603272    *ST联翔              37.02       47.77    2026-06-03
300693    盛弘股份               54.72       70.60    2026-05-13
301182    凯旺科技               73.38       94.37    2026-05-25
603156    养元饮品               40.33       51.74    2026-05-20
688783    西安奕材               32.28       41.41    2026-05-29
301321    翰博高新               27.98       35.89    2026-05-29
002916    深南电路              335.73      430.38    2026-05-26
002138    顺络电子               43.39       55.61    2026-06-05
301189    奥尼电子               89.85      115.00    2026-06-03
301603    乔锋智能              117.41      150.00    2026-05-20
688419    耐科装备               54.80       70.00    2026-05-25
688401    路维光电               70.02       89.38    2026-05-29
300620    光库科技              282.09      359.73    2026-06-05
600353    旭光电子               21.49       27.40    2026-06-05
603800    洪田股份               63.18       80.49    2026-06-05
688253    英诺特                53.77       68.50    2026-05-21
688611    杭州柯林               67.90       86.48    2026-05-27
002371    北方华创              567.00      721.60    2026-05-21
002428    云南锗业               82.76      105.17    2026-05-14
002080    中材科技               60.35       76.62    2026-05-26
300196    长海股份               22.71       28.82    2026-06-02
605303    园林股份               27.67       35.09    2026-05-25
300373    扬杰科技               93.09      118.00    2026-05-28
603790    XD雅运股              26.66       33.77    2026-05-21
688082    盛美上海              219.80      278.35    2026-06-04
002273    水晶光电               34.80       44.06    2026-05-28
688807    优迅股份              410.00      518.88    2026-05-26
001359    平安电工               90.88      114.90    2026-05-13
300757    罗博特科              566.00      714.00    2026-06-03
688182    灿勤科技               36.95       46.60    2026-05-20
001211    双枪科技               48.91       61.66    2026-05-20
301568    思泰克                71.60       90.24    2026-06-05
688150    莱特光电               57.57       72.45    2026-05-26
300503    昊志机电               74.56       93.79    2026-05-26
301169    零点有数               79.15       99.50    2026-05-21
688549    中巨芯                15.52       19.50    2026-05-18
001339    智微智能               95.81      119.90    2026-05-20
603663    三祥新材               56.90       71.20    2026-06-04
301018    申菱环境               96.97      121.20    2026-05-25
600330    天通股份               28.48       35.55    2026-05-14
688720    艾森股份               91.29      113.88    2026-05-26
603938    三孚股份               45.55       56.78    2026-05-21
688313    仕佳光子              155.60      193.56    2026-05-15
000988    华工科技              141.41      175.80    2026-05-26
688697    纽威数控               20.91       25.98    2026-05-26
688025    杰普特               375.00      465.88    2026-05-26
688679    通源环境               60.80       75.50    2026-05-21
300136    信维通信              100.35      124.55    2026-05-25
301086    鸿富瀚               147.14      182.58    2026-05-21
002409    雅克科技              102.99      127.78    2026-05-25
688652    京仪装备              142.43      176.66    2026-05-21
300131    英唐智控               19.08       23.66    2026-05-20
603269    海鸥股份               19.24       23.84    2026-05-25
301205    联特科技              302.68      374.90    2026-06-05
002222    福晶科技              100.60      124.60    2026-05-14
600863    华能蒙电                6.49        8.03    2026-06-01
002947    恒铭达                85.00      105.00    2026-05-26
001266    宏英智能               45.47       56.09    2026-05-25
002208    合肥城建               21.40       26.36    2026-05-20
001267    汇绿生态               56.65       69.72    2026-05-14
301379    天山电子               24.38       29.99    2026-05-20
300657    弘信电子               47.61       58.55    2026-05-20
603052    可川科技               98.00      120.47    2026-05-15
002384    东山精密              199.07      244.70    2026-06-04
300042    朗科科技               62.65       76.97    2026-05-21
003018    金富科技               58.25       71.56    2026-05-20
688757    胜科纳米               36.92       45.32    2026-05-26
002636    金安国纪               48.39       59.40    2026-06-05
688322    奥比中光              108.88      133.28    2026-06-05
688231    隆达股份               44.91       54.88    2026-05-22
600714    金瑞矿业               27.18       33.17    2026-05-26
002290    禾盛新材               89.41      108.91    2026-05-14
301338    凯格精机              221.90      269.95    2026-06-05
688646    ST逸飞               62.50       75.95    2026-05-25
300854    中兰环保               27.86       33.84    2026-05-29
300570    太辰光               158.10      192.00    2026-05-12
688361    中科飞测              220.88      268.07    2026-05-25
301045    天禄科技               53.40       64.75    2026-05-27
688785    恒运昌               421.00      508.99    2026-05-21
688593    新相微                38.89       47.00    2026-05-21
301148    嘉戎技术               72.00       87.00    2026-05-27
301626    苏州天脉              295.37      356.68    2026-06-01
002158    汉钟精机               29.90       36.11    2026-05-22
300839    博汇股份               17.20       20.74    2026-05-19
300054    鼎龙股份               67.69       81.58    2026-05-26
000026    飞亚达                23.07       27.79    2026-05-25
688218    江苏北人               39.56       47.56    2026-05-29
002579    中京电子               18.20       21.88    2026-06-03
603002    宏昌电子               15.60       18.74    2026-06-02
003031    中瓷电子              146.49      175.97    2026-05-19
002990    盛视科技               58.87       70.69    2026-05-15
001210    金房能源               22.38       26.84    2026-06-03
300285    国瓷材料               56.38       67.60    2026-06-05
603124    江南新材              140.55      168.00    2026-06-05
301373    凌玮科技              131.55      157.20    2026-05-14
301235    华康洁净               66.88       79.65    2026-05-21
002831    裕同科技               38.79       46.19    2026-05-21
002289    *ST宇顺              41.31       49.17    2026-05-15
603285    键邦股份               46.61       55.47    2026-05-25
688378    奥来德                46.69       55.55    2026-06-05
300739    明阳电路               35.16       41.80    2026-05-29
300731    科创新源               59.48       70.67    2026-05-29
301563    云汉芯城              196.28      232.99    2026-06-05
002348    高乐股份               13.56       16.09    2026-05-29
600186    莲花控股               11.55       13.70    2026-05-26
605222    起帆电缆               37.10       43.99    2026-05-13
301566    达利凯普               34.26       40.60    2026-06-03
002536    飞龙股份               41.67       49.36    2026-05-20
301486    致尚科技              253.33      299.90    2026-05-27
002380    科远智慧               43.14       51.06    2026-05-22
688183    XD生益电             122.02      144.20    2026-05-29
603150    万朗磁塑               65.97       77.80    2026-05-14
300602    飞荣达                41.82       49.29    2026-05-29
300398    飞凯材料               36.58       43.10    2026-05-26
002134    天津普林               28.57       33.66    2026-05-26
600188    兖矿能源               23.60       27.80    2026-06-04
688809    强一股份              459.87      540.99    2026-05-21
002203    海亮股份               19.79       23.28    2026-05-13
300776    帝尔激光              158.18      186.00    2026-05-27
688800    瑞可达               126.00      147.99    2026-05-21
002979    雷赛智能               57.00       66.94    2026-05-19
688059    华锐精密              144.50      169.60    2026-06-05
688818    电科蓝天               80.88       94.92    2026-05-11
603083    剑桥科技              187.22      219.49    2026-05-26
688379    华光新材               72.09       84.50    2026-05-11
688249    晶合集成               41.80       48.99    2026-05-28
301629    矽电股份              373.66      437.69    2026-05-20
301312    智立方                93.56      109.58    2026-05-26
600105    永鼎股份               51.00       59.72    2026-06-05
600246    万通发展               16.12       18.87    2026-06-04
603637    镇海股份               18.92       22.15    2026-06-01
002056    横店东磁               25.84       30.24    2026-06-04
600176    中国巨石               37.61       43.98    2026-05-29
603297    永新光学              131.69      153.99    2026-05-21
600552    凯盛科技               18.64       21.71    2026-06-05
688456    有研粉材               81.82       95.26    2026-06-04
688485    九州一轨               57.59       67.00    2026-05-11
301055    张小泉                36.45       42.40    2026-05-19
002718    友邦吊顶               82.57       95.99    2026-06-02
301176    逸豪新材               43.00       49.90    2026-05-29
603125    常青科技               25.12       29.15    2026-05-20
002851    麦格米特              140.39      162.75    2026-06-03
600667    太极实业               14.82       17.18    2026-06-05
600642    申能股份                9.52       10.98    2026-06-02
301285    鸿日达               110.99      128.00    2026-05-26
301295    美硕科技               48.28       55.62    2026-05-15
601869    长飞光纤              422.88      487.10    2026-06-05
000700    模塑科技               16.20       18.66    2026-06-05
603162    海通发展               11.56       13.30    2026-05-18
301538    骏鼎达               105.00      120.80    2026-05-15
300905    宝丽迪                72.21       83.00    2026-05-13
000962    东方钽业               59.95       68.90    2026-05-27
300184    力源信息               16.56       19.03    2026-06-02
002897    意华股份               86.61       99.47    2026-06-04
688416    恒烁股份              121.00      138.70    2026-05-27
301323    新莱福                84.88       97.21    2026-05-25
000967    盈峰环境               14.93       17.09    2026-05-08
300836    佰奥智能               71.68       82.00    2026-05-21
688479    友车科技               29.34       33.55    2026-06-04
301389    隆扬电子               81.22       92.87    2026-05-28
688372    伟测科技              160.14      183.03    2026-05-26
301577    美信科技               95.81      109.46    2026-06-05
600114    东睦股份               36.92       42.16    2026-06-05
600206    有研新材               29.29       33.44    2026-05-11
300476    胜宏科技              352.72      402.60    2026-05-27
688400    凌云光                64.80       73.95    2026-05-20
688448    磁谷科技               52.70       60.00    2026-06-03
301479    弘景光电               88.11      100.29    2026-05-11
300666    江丰电子              195.20      221.77    2026-05-21
300331    苏大维格               55.20       62.69    2026-06-05
002350    北京科锐               16.20       18.38    2026-05-29
002213    大为股份               40.88       46.30    2026-05-11
688019    安集科技              308.00      348.50    2026-05-27
688141    杰华特                98.91      111.88    2026-05-12
300395    菲利华               135.88      153.58    2026-05-25
688048    长光华芯              410.00      463.37    2026-05-14
301191    菲菱科思              168.18      190.00    2026-05-25
002149    西部材料               69.86       78.87    2026-05-12
605117    德业股份              112.53      126.90    2026-05-27
300938    信测标准               61.00       68.77    2026-05-11
301280    珠城科技               45.53       51.30    2026-05-19
002475    立讯精密               72.60       81.78    2026-05-13
688097    博众精工               69.26       77.90    2026-06-03
603211    晋拓股份               29.00       32.60    2026-05-26
688081    兴图新科               57.00       63.99    2026-05-21
688001    华兴源创               76.13       85.45    2026-05-26
301128    强瑞技术              140.88      158.00    2026-06-05
300953    震裕科技              167.56      187.88    2026-05-21
600350    山东高速               11.24       12.60    2026-05-25
002342    巨力索具               21.41       23.99    2026-05-08
301529    福赛科技              118.54      132.78    2026-05-27
688392    骄成超声              159.79      178.68    2026-05-21
300265    通光线缆               23.89       26.71    2026-05-13
688079    美迪凯                30.28       33.85    2026-06-04
001331    胜通能源               65.00       72.56    2026-05-27
603950    长源东谷               69.68       77.77    2026-05-13
300236    上海新阳              102.45      114.27    2026-05-25
002498    汉缆股份               10.49       11.70    2026-05-14
002015    协鑫能科               22.99       25.63    2026-05-14
300478    杭州高新               41.67       46.45    2026-05-29
001268    联合精密               42.36       47.20    2026-05-19
002757    南兴股份               29.23       32.56    2026-05-14
300480    光力科技               38.58       42.90    2026-05-21
603296    华勤技术              113.97      126.69    2026-06-02
002126    银轮股份               55.72       61.88    2026-05-21
300806    斯迪克                83.43       92.58    2026-05-21
603389    *ST亚振              64.91       71.80    2026-05-18
002272    川润股份               22.60       24.96    2026-05-25
605100    华丰股份               38.04       42.00    2026-05-25
603283    赛腾股份               50.10       55.32    2026-05-21
002169    智光电气               18.00       19.86    2026-05-25
002768    国恩股份               63.89       70.31    2026-05-28
688525    佰维存储              318.05      350.00    2026-06-04
300433    蓝思科技               43.44       47.79    2026-06-05
688371    菲沃泰                40.35       44.39    2026-05-20
688256    寒武纪              1317.88     1448.01    2026-05-26
301588    美新科技               39.49       43.33    2026-05-25
300943    春晖智控               39.85       43.72    2026-05-25
688387    信科移动               22.16       24.30    2026-05-11
603268    松发股份              153.80      168.53    2026-05-13
605099    共创草坪               51.00       55.88    2026-05-18
688777    中控技术               93.32      102.00    2026-06-05
601001    晋控煤业               21.89       23.90    2026-06-04
603897    长城科技               54.04       59.01    2026-05-21
002913    奥士康                54.96       59.99    2026-05-11
688205    德科立               284.83      310.88    2026-05-12
301031    中熔电气              170.67      186.19    2026-05-25
002937    兴瑞科技               34.25       37.34    2026-05-19
688683    莱尔科技               46.78       51.00    2026-05-26
002971    和远气体               41.60       45.33    2026-05-18
301070    开勒股份              107.37      116.97    2026-05-13
688503    聚和材料              111.50      121.44    2026-05-21
603306    华懋科技              110.46      120.20    2026-05-26
301630    同宇新材              265.65      289.00    2026-05-27
301392    汇成真空              198.78      216.16    2026-05-20
688191    智洋创新               55.18       60.00    2026-05-21
688110    东芯股份              156.99      170.70    2026-05-11
603228    景旺电子               82.69       89.90    2026-05-26
300721    怡达股份               34.42       37.39    2026-05-29
603726    朗迪集团               29.00       31.49    2026-05-21
603757    大元泵业               62.26       67.56    2026-05-20
002580    圣阳股份               33.64       36.50    2026-05-14
300322    硕贝德                34.00       36.88    2026-06-05
688028    沃尔德               129.85      140.84    2026-05-13
688584    上海合晶               29.65       32.16    2026-05-20
301329    信音电子               30.69       33.28    2026-06-03
002787    华源控股               28.09       30.42    2026-06-04
600360    华微电子               12.99       14.06    2026-06-04
002353    杰瑞股份              150.70      162.98    2026-06-05
605058    澳弘电子               38.81       41.97    2026-05-29
688035    德邦科技               89.37       96.63    2026-05-26
600345    长江通信               57.08       61.68    2026-05-12
605289    罗曼股份              115.44      124.71    2026-05-11
688301    奕瑞科技              198.74      214.60    2026-05-29
001389    广合科技              185.22      199.74    2026-05-29
003019    宸展光电               43.57       46.92    2026-05-27
688629    华丰科技              148.50      159.80    2026-05-25
301305    朗坤科技               30.19       32.47    2026-06-01
603050    科林电气               25.46       27.38    2026-05-29
002185    华天科技               20.43       21.96    2026-05-28
002943    宇晶股份               88.95       95.60    2026-05-29
301150    中一科技               78.15       83.94    2026-05-13
002902    铭普光磁               40.14       43.03    2026-05-15
301252    同星科技               42.50       45.50    2026-05-08
301396    宏景科技              248.86      265.93    2026-05-07
002518    科士达                60.91       65.07    2026-05-20
688502    茂莱光学              568.00      606.30    2026-05-21
301248    杰创智能               92.28       98.47    2026-05-13
603112    华翔股份               22.45       23.95    2026-05-26
300328    宜安科技               22.05       23.52    2026-06-05
688469    芯联集成                8.55        9.12    2026-05-28
603867    新化股份               41.33       43.98    2026-05-25
002785    万里石                53.88       57.30    2026-05-19
002046    国机精工               57.43       61.06    2026-05-13
600539    狮头股份               20.14       21.40    2026-05-08
301599    理奇智能               80.00       85.00    2026-05-21
600226    亨通股份                6.73        7.15    2026-06-05
688282    理工导航               96.88      102.88    2026-05-13
605389    长龄液压               95.67      101.48    2026-05-08
300969    恒帅股份              116.56      123.55    2026-05-25
002429    兆驰股份               13.00       13.78    2026-05-14
600236    桂冠电力               11.94       12.65    2026-05-12
002730    电光科技               33.99       36.00    2026-05-11
300870    欧陆通               303.17      321.10    2026-05-14
301366    一博科技               53.51       56.66    2026-06-04
000338    潍柴动力               34.32       36.34    2026-05-29
688550    瑞联新材               52.58       55.64    2026-05-26
603991    领先股份              123.37      130.51    2026-05-20
600379    宝光股份               19.67       20.80    2026-05-14
603608    天创时尚               20.32       21.47    2026-06-04
603685    晨丰科技               34.96       36.91    2026-05-27
688796    百奥赛图              116.50      122.99    2026-05-28
688661    和林微纳              127.99      135.10    2026-06-03
688669    聚石化学               44.07       46.50    2026-05-26
301233    盛帮股份               66.18       69.77    2026-05-29
002560    通达股份               12.24       12.90    2026-05-13
300849    锦盛新材               26.75       28.18    2026-06-03
688596    正帆科技               49.68       52.33    2026-05-18
000066    中国长城               24.49       25.74    2026-05-12
300684    中石科技               62.76       65.95    2026-05-26
688350    富淼科技               39.06       41.00    2026-05-21
301016    雷尔伟                20.73       21.72    2026-05-19
688226    威腾电气               64.60       67.67    2026-05-20
688213    思特威               126.67      132.68    2026-05-21
688433    华曙高科              106.95      112.01    2026-05-27
301157    华塑科技               90.07       94.29    2026-05-14
000657    中钨高新               71.50       74.81    2026-06-04
301365    矩阵股份               37.16       38.87    2026-05-11
688147    微导纳米               98.00      102.43    2026-05-21
601939    建设银行               10.00       10.45    2026-05-27
300857    协创数据              294.84      308.00    2026-05-14
002283    天润工业               12.67       13.24    2026-05-14
300442    润泽科技              106.33      110.98    2026-05-15
300486    东杰智能               28.90       30.16    2026-06-03
605318    法狮龙               103.27      107.69    2026-05-19
301326    捷邦科技              191.91      199.86    2026-05-14
688676    金盘科技              106.84      111.11    2026-05-27
300790    宇瞳光学               26.15       27.20    2026-05-21
301382    蜂助手                51.91       53.98    2026-05-14
300606    金太阳                43.72       45.45    2026-05-20
688981    中芯国际              153.00      159.05    2026-05-28
002039    黔源电力               22.41       23.29    2026-05-29
002245    蔚蓝锂芯               22.34       23.21    2026-05-28
301053    远信工业               48.03       49.86    2026-05-07
300668    杰恩股份               66.96       69.50    2026-05-13
688548    广钢气体               34.80       36.10    2026-05-20
300720    海川智能               76.69       79.50    2026-06-05
300593    新雷能                40.97       42.43    2026-05-27
301028    鼎熔岩                20.91       21.65    2026-05-21
002733    雄韬股份               34.55       35.76    2026-06-05
301286    侨源股份               66.00       68.30    2026-05-14
603011    合锻智能               33.00       34.10    2026-06-05
688171    纬德信息               61.40       63.44    2026-05-25
301165    锐捷网络               75.72       78.22    2026-05-14
300990    同飞股份              103.91      107.30    2026-05-20
688551    DR科威尔              58.29       60.17    2026-05-27
300571    平治信息               71.05       73.34    2026-05-19
688678    福立旺                26.62       27.42    2026-05-11
600673    东阳光                41.58       42.83    2026-05-08
301012    扬电科技               42.61       43.87    2026-05-21
301251    威尔高                54.36       55.88    2026-05-29
600791    京能置业               17.41       17.88    2026-05-26
301232    飞沃科技              182.36      187.14    2026-05-11
300852    四会富仕               56.33       57.80    2026-05-11
605299    舒华体育               26.96       27.66    2026-05-08
688530    欧莱新材               58.32       59.83    2026-05-11
300475    香农芯创              204.57      209.86    2026-05-14
300834    星辉环材               52.19       53.53    2026-05-26
002871    伟隆股份               22.33       22.89    2026-06-03
688112    鼎阳科技               77.90       79.82    2026-05-29
603538    美诺华                68.71       70.39    2026-05-07
688700    东威科技               92.74       95.00    2026-06-04
688521    芯原股份              296.96      303.55    2026-05-21
001332    锡装股份               52.71       53.88    2026-06-03
300738    奥飞数据               28.86       29.49    2026-05-15
688291    金橙子                56.14       57.28    2026-05-21
600498    烽火通信               61.78       62.99    2026-05-14
301265    华新科技               29.99       30.55    2026-05-29
688233    神工股份              108.97      111.00    2026-05-21
300499    高澜股份               47.09       47.95    2026-05-20
601138    工业富联               83.42       84.95    2026-06-03
000823    超声电子               17.84       18.17    2026-06-05
688360    德马科技               27.36       27.86    2026-05-22
301125    腾亚精工               18.84       19.18    2026-05-21
603175    超颖电子              105.00      106.80    2026-05-14
605189    富春染织               20.46       20.81    2026-05-12
688020    方邦股份              176.99      180.00    2026-05-25
688323    瑞华泰                42.72       43.42    2026-05-21
301219    腾远钴业               90.97       92.42    2026-05-08
301607    富特科技               57.04       57.89    2026-05-21
001226    拓山重工               54.86       55.67    2026-05-20
002654    万润科技               19.81       20.10    2026-05-21
301059    金三江                16.30       16.53    2026-05-12
001400    江顺科技              158.01      160.16    2026-05-11
002903    宇环数控               49.64       50.11    2026-05-12
601225    陕西煤业               27.94       28.20    2026-06-04
688041    海光信息              355.50      358.80    2026-05-12
603699    纽威股份               66.60       67.17    2026-05-07
300972    万辰集团              240.00      241.86    2026-05-14
300895    铜牛信息               82.79       83.39    2026-05-20
300750    宁德时代              465.88      468.75    2026-05-07
600601    方正科技               14.57       14.66    2026-05-13
605167    利柏特                20.15       20.26    2026-05-11
605016    百龙创园               28.76       28.91    2026-05-14
605198    安德利                63.50       63.80    2026-05-18
300740    水羊股份               28.22       28.33    2026-05-11
000593    德龙汇能               27.88       27.99    2026-05-07
002850    科达利               213.09      213.75    2026-05-21
688517    XD金冠电              25.11       25.18    2026-05-13
002297    博云新材               29.18       29.24    2026-05-25
301216    万凯新材               31.38       31.44    2026-05-07
603701    德宏股份               26.46       26.51    2026-05-21
688628    优利德               108.08      108.26    2026-05-20
601339    百隆东方                9.49        9.50    2026-05-07
301042    安联锐视              110.90      111.00    2026-06-03
605566    福莱蒽特               44.26       44.29    2026-05-26
